"filename", "language", "Python", "Makefile", "Batch", "PowerShell", "C++", "Yacc", "Markdown", "Lex", "comment", "blank", "total"
"d:\Git\A-Compiler\front-end\IR_node.cpp", "C++", 0, 0, 0, 0, -157, 0, 0, 0, -13, -20, -190
"d:\Git\A-Compiler\front-end\IR_node.h", "C++", 0, 0, 0, 0, -114, 0, 0, 0, -4, -29, -147
"d:\Git\A-Compiler\front-end\Record.md", "Markdown", 0, 0, 0, 0, 0, 0, -80, 0, 0, -34, -114
"d:\Git\A-Compiler\front-end\gen_IR.cpp", "C++", 0, 0, 0, 0, -732, 0, 0, 0, -115, -117, -964
"d:\Git\A-Compiler\front-end\main.cpp", "C++", 0, 0, 0, 0, -42, 0, 0, 0, -3, -11, -56
"d:\Git\A-Compiler\front-end\makefile", "Makefile", 0, -29, 0, 0, 0, 0, 0, 0, -1, -13, -43
"d:\Git\A-Compiler\front-end\node.cpp", "C++", 0, 0, 0, 0, -102, 0, 0, 0, -6, -20, -128
"d:\Git\A-Compiler\front-end\node.h", "C++", 0, 0, 0, 0, -37, 0, 0, 0, -13, -16, -66
"d:\Git\A-Compiler\front-end\parser.ypp", "Yacc", 0, 0, 0, 0, 0, -537, 0, 0, -8, -57, -602
"d:\Git\A-Compiler\front-end\scanner.l", "Lex", 0, 0, 0, 0, 0, 0, 0, -181, -33, -35, -249
"d:\Git\A-Compiler\front-end\symtable.cpp", "C++", 0, 0, 0, 0, -31, 0, 0, 0, 0, -4, -35
"d:\Git\A-Compiler\front-end\symtable.h", "C++", 0, 0, 0, 0, -46, 0, 0, 0, -17, -12, -75
"d:\Git\A-Compiler\functional-test\TestMachine.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 10, 22, 108
"d:\Git\A-Compiler\functional-test\make.bat", "Batch", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Git\A-Compiler\functional-test\makefile", "Makefile", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Git\A-Compiler\functional-test\test.ps1", "PowerShell", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 76, -18, 2, 5, -1261, -537, -80, -181, -203, -341, -2538